,teamID,Name,Batter_Zscore,Pitcher_Zscore,Zscore
11,18.0,Richmond Braves,29.64616233880148,20.666204088317002,50.312366427118484
7,4.0,Cleveland Indians,54.32016283898618,2.240639122331241,56.560801961317416
5,17.0,The Pumas,44.27650286322778,15.450335886252224,59.72683874948001
6,2.0,Crash Davis,26.80340469638941,39.30979650519388,66.1132012015833
8,8.0,Back Bay Bums,54.95624862105276,19.951323610494672,74.90757223154743
0,1.0,Detroit Tigers,25.391344623744423,50.67970976190693,76.07105438565135
1,3.0,Roids in the Outfield,67.1306945188683,13.315375189200843,80.44606970806913
9,12.0,Final 4 Spartans,42.586824711521075,41.379846728847994,83.96667144036907
2,5.0,Cleveland Wild Things,61.436346188590804,33.695789564681995,95.13213575327279
10,16.0,Atlanta 20%,83.38324865814528,22.89073510008827,106.27398375823356
3,11.0,Motor City Miracle,66.49403171773601,39.95806603246948,106.4520977502055
4,15.0,The Evil Empire,128.49534202157562,4.800494800602525,133.29583682217816
